id,question,answer,text,dir,exp
1,Mauritania,Mauritania,,res/flags/flag-of-Mauritania.png,
2,Tajikistan,Tajikistan,,res/flags/flag-of-Tajikistan.png,
3,Eswatini,Eswatini,,res/flags/flag-of-Eswatini.png,
4,Malawi,Malawi,,res/flags/flag-of-Malawi.png,
5,Seychelles,Seychelles,,res/flags/flag-of-Seychelles.png,
6,Uganda,Uganda,,res/flags/flag-of-Uganda.png,
7,Kyrgyzstan,Kyrgyzstan,,res/flags/flag-of-Kyrgyzstan.png,
8,Tchad,Tchad,,res/flags/tchad.jpg,
9,Liechtenstein,Liechtenstein,,res/flags/Liechtenstein.jpg,
10,Agirhautetfort,Agirhautetfort,,res/flags/agirhautetfort.png,
11,Ambassadedesdieux,Ambassadedesdieux,,res/flags/ambassadedesdieux.png,
12,Angesduciel,Angesduciel,,res/flags/angesduciel.png,
13,Arabiesaoudite,Arabiesaoudite,,res/flags/arabiesaoudite.png,
14,Azerbaidjan,Azerbaidjan,,res/flags/Azerbaidjan.png,
15,Belliscite,Belliscite,,res/flags/belliscite.png,
16,Creuseruntrou,Creuseruntrou,,res/flags/creuseruntrou.png,
17,Decote,Decote,,res/flags/decote.png,
18,Deuxpaysenun,Deuxpaysenun,,res/flags/deuxpaysenun.png,
19,Djibouti,Djibouti,,res/flags/djibouti.jpg,
20,Eauxprofondes,Eauxprofondes,,res/flags/eauxprofondes.png,
21,Fermeracle,Fermeracle,,res/flags/fermeracle.png,
22,Lacleducoeur,Lacleducoeur,,res/flags/lacleducoeur.png,
23,Mauvaisechute,Mauvaisechute,,res/flags/mauvaisechute.png,
24,Monterenfleche,Monterenfleche,,res/flags/monterenfleche.png,
25,Nuitdelatoundra,Nuitdelatoundra,,res/flags/nuitdelatoundra.png,
26,Oaxaca,Oaxaca,,res/flags/Oaxaca.png,
27,Roidelacolline,Roidelacolline,,res/flags/roidelacolline.png,
28,Taureau,Taureau,,res/flags/taureau.png,
29,Tournante,Tournante,,res/flags/tournante.png,
30,Trefles,Trefles,,res/flags/trefles.png,
31,Nostradizmus,Nostradizmus,,res/flags/Nostradizmus.png,
32,Belleetoile,Belleetoile,,res/flags/Belleetoile.png,
33,Clubdecombat,Clubdecombat,,res/flags/Clubdecombat.png,
34,Feuillesdelenfer,Feuillesdelenfer,,res/flags/Feuillesdelenfer.png,
35,Fleurdesseux,Fleurdesseux,,res/flags/Fleurdesseux.png,
36,Justedusapin,Justedusapin,,res/flags/Justedusapin.png,
37,Luttecontre,Luttecontre,,res/flags/Luttecontre.png,
38,Ohmareine,Ohmareine,,res/flags/Ohmareine.png,
39,Paien,Paien,,res/flags/Paien.png,
40,Paixsivictoire,Paixsivictoire,,res/flags/Paixsivictoire.png,
41,Paresseux,Paresseux,,res/flags/Paresseux.png,
42,Phenixsombre,Phenixsombre,,res/flags/Phenixsombre.png,
43,Quatretrefles,Quatretrefles,,res/flags/Quatretrefles.png,
44,Saintetrinite,Saintetrinite,,res/flags/Saintetrinite.png,
45,Soleildalamer,Soleildalamer,,res/flags/Soleildalamer.png,
46,Tantdaigles,Tantdaigles,,res/flags/Tantdaigles.png,
47,Tourdechecs,Tourdechecs,,res/flags/Tourdechecs.png,
48,Uneluneface,Uneluneface,,res/flags/Uneluneface.png,
49,Voixdufermier,Voixdufermier,,res/flags/Voixdufermier.png,
50,Yedefleurssaux,Yedefleurssaux,,res/flags/Yedefleurssaux.png,
